10.1.30.150,10.1.30.150;
10.1.30.151,10.1.30.151;
10.1.30.154,10.1.30.154;
10.1.30.155,10.1.30.155;
10.1.30.156,10.1.30.156;
10.1.30.157,10.1.30.157;
10.1.30.158,10.1.30.158;
10.1.30.159,10.1.30.159;
hvma0708.trtrio.gov.br,10.1.66.25;
hvma0709.trtrio.gov.br,10.1.66.26;
hvma0710.trtrio.gov.br,10.1.66.27;
hvma0712.trtrio.gov.br,10.1.66.21;
hvma0714.trtrio.gov.br,10.1.66.22;
hvma0717.trtrio.gov.br,10.1.66.32;
hvmb0709.trtrio.gov.br,10.1.64.37;
hvmb0711.trtrio.gov.br,10.1.64.27;
hvmb0713.trtrio.gov.br,10.1.64.28;
hvmb0719.trtrio.gov.br,10.1.64.48;
hvmb0721.trtrio.gov.br,10.1.64.49;
hvmb0725.trtrio.gov.br,10.1.64.50;
hvmc0703.trtrio.gov.br,10.1.64.67;
hvmc0706.trtrio.gov.br,10.1.64.68;
hvmc0709.trtrio.gov.br,10.1.64.69;
hvmc0712.trtrio.gov.br,10.1.64.70;
hvmc0715.trtrio.gov.br,10.1.64.71;
hvmc0718.trtrio.gov.br,10.1.64.72;
hvmc0721.trtrio.gov.br,10.1.64.84;
hvmc0725.trtrio.gov.br,10.1.64.85;
hvmc0728.trtrio.gov.br,10.1.64.98;
hvmc0734.trtrio.gov.br,10.1.64.106;
hvmc0736.trtrio.gov.br,10.1.64.107;
hvmd0720.trtrio.gov.br,10.1.66.34;
hvmd0722.trtrio.gov.br,10.1.66.35;
hvmd0724.trtrio.gov.br,10.1.66.36;
hvmd0726.trtrio.gov.br,10.1.66.37;
hvmd0728.trtrio.gov.br,10.1.66.38;
hvmd0732.trtrio.gov.br,10.1.66.39;
hvme0303.trtrio.gov.br,10.1.66.28;
hvme0304.trtrio.gov.br,10.1.66.24;
hvme0305.trtrio.gov.br,10.1.66.29;
hvme0307.trtrio.gov.br,10.1.66.23;
hvme0309.trtrio.gov.br,10.1.66.20;
hvme0314.trtrio.gov.br,10.1.66.30;
hvme0315.trtrio.gov.br,10.1.66.31;
